"CD_CVM","DENOM_SOCIAL","DENOM_COMERC","DT_INI_CATEG"
"1193","IOCHPE-MAXION SA","IOCHPE-MAXION","01/01/2010"
"1193","IOCHPE-MAXION SA","IOCHPE-MAXION","01/01/2010"
"1279","ITAÚ UNIBANCO HOLDING S.A.","ITAÚ UNIBANCO",NA
"1253","ITAUTEC S.A. - GRUPO ITAUTEC","ITAUTEC S.A. - GRUPO ITAUTEC","01/01/2010"
"2057","JBS SA","JBS SA","01/01/2010"
"2060","JHSF PARTICIPAÇÕES SA","JHSF","01/01/2010"
"1328","JOSAPAR- JOAQUIM OLIVEIRA S/A PARTICIP","JOSAPAR S/A","01/01/2010"
"1265","KLABIN S.A.","KLABIN","01/01/2010"
"1987","LIGHT SA","LIGHT SA","01/01/2010"
"2303","LINX S.A.",NA,"06/12/2012"
"1973","LOCALIZA RENT A CAR SA","LOCALIZA RENT A CAR","01/01/2010"
"1973","LOCALIZA RENT A CAR SA","LOCALIZA RENT A CAR","01/01/2010"
"2071","LOG-IN LOGISTICA INTERMODAL SA","LOG-IN LOGISTICA INTERMODAL SA","01/01/2010"
"2006","LUPATECH S/A - EM RECUPERAÇÃO JUDICIAL","LUPATECH","01/01/2010"
"2033","M DIAS BRANCO SA IND E COM DE ALIMENTOS","M DIAS BRANCO SA IND E COM DE ALIMENTOS","01/01/2010"
"2247","MAGAZINE LUIZA SA","MAGAZINE LUIZA SA","28/04/2011"
"2084","MAGNESITA REFRATARIOS S.A.","MAGNESITA REFRATARIOS S.A.","01/01/2010"
"2078","MARFRIG GLOBAL FOODS SA","MARFRIG","01/01/2010"
"2205","MARISA LOJAS SA","MARISA LOJAS SA","14/06/2010"
"2250","MASSA FALIDA DA BRASIL PHARMA SA","BRASIL PHARMA SA - EM RECUPERAÇÃO JUDICIAL","22/06/2011"
"2061","METALFRIO SOLUTIONS S/A","METALFRIO SOLUTIONS S/A","01/01/2010"
"1343","METALURGICA RIOSULENSE SA","METALURGICA RIOSULENSE S/A","01/01/2010"
"2201","MILLS ESTRUTURAS E SERVIÇOS DE ENGENHARIA S/A","MILLS ESTRUTURAS E SERVIÇOS DE ENGENHARIA S/A","14/04/2010"
"2201","MILLS ESTRUTURAS E SERVIÇOS DE ENGENHARIA S/A","MILLS ESTRUTURAS E SERVIÇOS DE ENGENHARIA S/A","14/04/2010"
"2093","MINERVA S/A","MINERVA S/A","01/01/2010"
"1376","MINUPAR PARTICIPACOES SA","MINUPAR","01/01/2010"
"1791","MMX MINERAÇÃO E METÁLICOS S.A. - EM RECUPERAÇÃO JUDICIAL","MMX MINERAÇÃO E METÁLICOS S.A.  - EM RECUPERAÇÃO JUDICIAL","01/01/2010"
"1794","MRS LOGÍSTICA S/A","MRS LOGÍSTICA S/A","01/01/2010"
"2091","MRV ENGENHARIA E PARTICIPAÇÕES S/A","MRV ENGENHARIA","01/01/2010"
"2478","NATURA & CO HOLDING S.A.","NATURA & CO HOLDING S.A.","29/07/2019"
"1131","OI S.A. - EM RECUPERAÇÃO JUDICIAL","BRASIL TELECOM S.A.","01/01/2010"
"2134","OSX BRASIL S.A.","OSX BRASIL S.A.","19/03/2010"
"2350","OURO FINO SAÚDE ANIMAL PARTICIPAÇÕES S.A.",NA,"17/10/2014"
"1377","PBG S/A","PORTOBELLO S/A","01/01/2010"
"2047","PDG REALTY SA EMPREENDIMENTOS E PARTS - EM RECUPERAÇÃO JUDICIAL","PDG REALTY SA EMPREENDIMENTOS E PARTS","01/01/2010"
"2218","PETRO RIO S.A.","PETRO RIO S.A.","21/10/2010"
"1347","PLASCAR PARTICIPAÇÕES INDUSTRIAIS S.A","PLASCAR PARTICIPAÇÕES INDUSTRIAIS S.A","01/01/2010"
"1965","POMIFRUTAS S/A - EM RECUPERAÇÃO JUDICIAL","POMIFRUTAS S/A","01/01/2010"
"2036","POSITIVO TECNOLOGIA S.A.","POSITIVO INFORMATICA SA","01/01/2010"
"2034","PROFARMA DISTRIB. PRODUTOS FARMACEUTICOS","PROFARMA","01/01/2010"
"2148","PRUMO LOGÍSTICA S.A.","PRUMO LOGÍSTICA S.A.","01/01/2010"
"2249","QUALICORP CONSULTORIA E CORRETORA DE SEGUROS S.A.","QUALICORP CONSULTORIA E CORRETORA DE SEGUROS S.A.","17/06/2011"
"1410","RANDON S.A. IMPLEMENTOS E PARTICIPAÇÕES","RANDON S.A. IMPLEMENTOS E PARTICIPAÇÕES","01/01/2010"
"1410","RANDON S.A. IMPLEMENTOS E PARTICIPAÇÕES","RANDON S.A. IMPLEMENTOS E PARTICIPAÇÕES","01/01/2010"
"1257","RECRUSUL SA","RECRUSUL","01/01/2010"
"2163","RENOVA ENERGIA S.A. -  EM RECUPERAÇÃO JUDICIAL","RENOVA ENERGIA S/A","19/03/2010"
