"setor_economatica","setor_bovespa","id_cvm","codigo","listagem_bovespa","at","k","ll","d_cp","d_lp","v","depreciacao","caixa","dividendos","qtd_acoes","pl","v_merc","ebit","desp_fin","div_onerosa","fcl","cap_giro","ano","inv","fc","divida","cv","tamanho","alavanc","caixa_normalizado","dividendos_normalizado","q_tobin","cob_juros","div_pl","roa","roe","rok","fcl_normalizado","divonerosa_normalizado","tx_vendas","epu","cvm_reg","idade_firma","divlp_at","dum_dividendos","cv_industria","ln_epu","kz","ww","sa","fcp","dum_kz","dum_ww","dum_sa","dum_fcp"
"Transporte e Servicoes","Bens industriais",1945,"ECOR3","Novo Mercado",8465935034.4,606157403.41,425136113.21,1905949387.4,5740478125.3,3466964065.2,453320664.17,1741743507.2,254564337.35,556466000,713412509.72,7413914499.4,1312480447.9,626419517.56,6497628682,747040080.22,411415371.21,2017,-0.118650621654739,1.27727110201336,11.1178616263174,0.0990007979266258,22.8593163053091,0.914661942356945,2.53248504212246,0.370135082422709,1.77893427612008,2.09521001678286,0.356826287570863,0.0502172661947589,0.595919061437341,0.618145463508122,1.08619198016386,9.44751473360387,1.09900079792663,346.490038553874,2003,14,0.678067821448484,1,-0.054517568633441,5.84785406945444,-15.8066244180555,-1.17882798339444,5.06226258667252,-7.42888211855967,0,0,1,0
"Transporte e Servicoes","Bens industriais",1945,"ECOR3","Novo Mercado",10462678482,546610370.3,391019173.2,2096994970.9,7697137929.1,3308974825.7,452681615.72,2767328021.5,419538274.73,556463000,668545582.13,5449714684.2,1236510562.9,726028564.15,7839499562.4,630701783.69,1127678580.9,2018,-0.0982369146611295,1.39188399609355,16.15773864165,-0.0455699097333696,23.071080331828,0.936101870733019,4.56536207581086,0.692127609709697,1.45697371953325,1.70311558519416,0.566756421709559,0.0373727601276011,0.584880348702933,0.645078606646198,1.04049176029514,12.933108658408,0.95443009026663,165.088276545207,2003,15,0.735675663009445,1,-0.0117857781810152,5.10648034019899,-31.2940314042927,-1.18794699185554,5.28442794558218,-10.8773686125529,0,0,1,0
"Transporte e Servicoes","Bens industriais",1945,"ECOR3","Novo Mercado",11553758666,545958234.93,185641655.39,4012245090.6,7085716565.7,3956760797.7,568060862.95,1858066168.1,0,556493000,455797009.73,9079720652.7,796475372.74,888436359.05,8687611062.9,395811312.1,1682925788.5,2019,-0.0011930534169011,1.37886611614474,20.3032402224806,0.19576636454554,23.1702766466025,0.960549893510402,3.39925158587867,0,1.74641715240065,0.896491194475276,0,0.0160676417741267,0.407290200302034,0.339623368814084,0.724119653790623,15.89360819871,1.19576636454554,158.080664316813,2003,16,0.613282375938109,0,0.0537840914026327,5.06310543639972,-2.34173806260446,-1.13345590456101,5.36856006629796,-8.77533743194057,NA,0,1,0
"Energia Eletrica","Utilidade Publica",320,"EEEL4","Nivel 1",5886567640.2,691391712.06,137955721.32,952888469.24,1540471915.8,1192984589.5,95605053.147,26449610.072,0,387229828,3393207255.2,1583630248.2,209093516.12,160808309.59,490185358.57,140526363.69,1077959686.6,2011,-0.11137017836526,0.300190276705936,3.20465859740729,-0.0394606071105434,22.4959389211495,0.423567779633692,0.0339950738063665,0,0.692592166171301,1.30026561844415,0,0.0234356809862993,0.0406564382734319,0.177311306878155,0.180615294228442,0.630023936006075,0.960539392889457,133.884857654572,1970,41,0.261692723154993,0,0.0528935639393168,4.89698015933123,1.17995582766015,-1.00486681575388,3.54138553670864,-2.95975314785943,1,1,NA,1
"Energia Eletrica","Utilidade Publica",320,"EEEL4","Nivel 1",5435304603.3,443654559.43,192556364.75,636105965.47,1450656523,1408609472,93051071.574,173214396.04,0,387229828,3348542114.8,1217352308.3,335445084.68,83384522.094,268561254.63,365410057.61,2085706988.2,2012,-0.3583166362985,0.413090627703698,3.01820581888738,0.18074406358457,22.4161814007145,0.383927422800657,0.250530043994754,0,0.60789873575143,4.02286990746137,0,0.0354269684597053,0.0575045372429192,0.278505457024179,0.528513795054415,0.388435744810742,1.18074406358457,117.530190149943,1970,42,0.266895165750094,0,0.0732188226564098,4.76669523802776,0.633772260323555,-1.01715615258623,3.40613741703218,-3.4396691146585,1,1,0,1
"Energia Eletrica","Utilidade Publica",320,"EEEL4","Nivel 1",4425811432.3,472240126.8,267064708.34,642981427.5,1364663029.1,1026614068.9,57586071.998,88714961.101,0,387229828,2418166975.6,873522844.53,498238095.07,74293667.844,327213449.17,126286812.81,1351746396.6,2013,0.0644320378601006,0.731764778333634,4.52524247509005,-0.271186166707816,22.2107194731263,0.453621779272695,0.199964046836303,0,0.650991879162081,6.7063332519292,0,0.0603425411193382,0.110440970799271,0.601965431580643,0.284651222726644,0.737541049032379,0.728813833292184,137.888738632202,1970,43,0.308341882607234,0,-0.143318052330488,4.92644711817385,0.611935695225769,-1.0425139976141,3.12329030740413,-3.5017573487015,1,1,0,1
"Energia Eletrica","Utilidade Publica",320,"EEEL4","Nivel 1",3958947239.1,493142649.6,367513567.29,768540728.43,1288545148.5,880119785.15,41676539.352,97031882.442,0,387229828,1893826967,577001427.86,622510185.18,135649448.81,569778318.07,19356005.749,472570662.74,2014,0.0442624876916749,0.866487372461886,4.35601669614408,-0.142696547990002,22.0992439781566,0.520660910070545,0.205471489895424,0,0.665350444374403,4.5891095809164,0,0.0928311354241609,0.19405868312889,0.778234517639046,0.0409876345751481,1.20654363264498,0.857303452009998,148.63472366333,1970,44,0.32547671658108,0,0.236269140368688,5.0014917770144,0.684222014540244,-1.01528824338746,2.95305031756049,-3.58976303632381,1,1,0,NA
"Energia Eletrica","Utilidade Publica",320,"EEEL4","Nivel 1",3598797714,700634635.26,100681923.75,518641038.38,1316708875.8,783739564.77,31343466.793,47802787.017,0,387229828,1756459670.5,280616939.96,26455569.003,233706465.08,369199845.18,203475931.37,77440704.605,2015,0.420754493305947,0.267722515280495,3.72174241199518,-0.109508071521848,22.0038656582953,0.510981963522856,0.0969350086750233,0,0.587964932262931,0.113199987830649,0,0.0279765443215462,0.057320942485027,0.204163894223437,0.412610694968371,0.74866744030245,0.890491928478152,249.816769917806,1970,45,0.36587465604909,0,0.004981765257663,5.52072772881606,1.37457299207784,-0.980508547518941,2.80246547789357,-2.99874145175669,1,1,0,1
"Energia Eletrica","Utilidade Publica",320,"EEEL4","Nivel 1",4661996584.4,516581815.86,1030121602.6,390559515.5,1819005167.6,2164052448.5,33894984.134,41988476.529,0,9680746,2432879504.5,891077813.87,1283831067.5,110257943.52,336454217.76,67041727.238,60522774.834,2016,-0.262694434641672,1.51864685698724,3.15366179732186,1.69592387169606,22.2627096449128,0.475948572306321,0.0599292047750657,0,0.665088967963938,11.6438872929561,0,0.220961466605745,0.423416614219745,1.47026931121915,0.0956871440035524,0.480213510477033,2.69592387169607,308.932376861572,1970,46,0.390177284489389,0,0.0605805983923214,5.73312240783948,0.0817360256733706,-1.16274047986107,3.06439734324808,-4.09371939568093,NA,0,0,0
"Energia Eletrica","Utilidade Publica",320,"EEEL4","Nivel 1",5119361896,815722862.96,427949152.37,906429023.49,1679774323.5,1101846965,28483510.834,309069272.77,0,9680746,2517652713.2,1728949512.7,414230576.74,101371229.26,439724488.78,10809132.742,255097265.83,2017,0.579077772224702,0.883563163066698,5.00637704926666,-0.490840914801423,22.3562956385434,0.506715572792569,0.598296849174733,0,0.842908344311746,4.08627358831339,0,0.0835942371459179,0.169979421755142,0.828424732019563,0.0209243384303125,0.851219449232744,0.509159085198577,346.490038553874,1970,47,0.328121816278018,0,-0.0343621005931646,5.84785406945444,0.157050614069401,-1.04351620003559,3.13498016554556,-4.24272134323482,NA,1,0,0
"Energia Eletrica","Utilidade Publica",320,"EEEL4","Nivel 1",5323302511.2,707344715.65,181029212.47,701502032.43,2127678454.6,1068545949.2,25875485.753,1702897.8438,0,9680746,2477168219.7,2127901204.3,318174611.78,264370974.94,613234290.79,318381340.03,757403230.13,2018,-0.132861480572863,0.253645824602989,3.46831088779809,-0.0302229046844086,22.3953597204822,0.533168972374879,0.0020875936192602,0,0.931204206580504,1.20351567282381,0,0.0340069368759567,0.0730790953276172,0.22192489715576,0.390305769872252,0.751767933247288,0.969777095315591,165.088276545207,1970,48,0.399691441567233,0,-0.0139808789354081,5.10648034019899,1.68004012153828,-1.00045232545463,3.14136177742587,-2.93686248241945,1,1,0,1
"Energia Eletrica","Utilidade Publica",320,"EEEL4","Nivel 1",5176664506.5,672858410.19,391613204.13,549952143.08,2177207456.5,1088630254.2,31184514.893,2519465.3651,0,9680746,2435122833.7,3932290695,431015760.6,190355267.79,587792170.57,179353502.26,569610379.19,2019,-0.0487545954567702,0.597725139763685,3.85548875850996,0.0187959207697495,22.3674267681497,0.528285624590909,0.0035618635572682,0,1.28643652417849,2.26427020173404,0,0.0756497168472627,0.160818665370967,0.553638410615869,0.253558835305904,0.830984041536043,1.01879592076975,158.080664316813,1970,49,0.420581139412497,0,0.0881650058189348,5.06310543639972,1.41843834960586,-1.02139258822283,3.06818302170088,-3.14480948818365,1,1,0,1
"Energia Eletrica","Utilidade Publica",1732,"EGIE3","Novo Mercado",19356046824,15466334779,2264975316.5,2439522403.2,8389035578,6769959583,784020890.71,1223218973.7,1568304634.7,652742192,8523926242.5,30597616245,3768499137.5,794007750.28,5709548481.2,2648240414.6,83721895,2011,-0.0696118189871743,0.183414498371833,0.651399475511158,-0.009178380966458,23.6862707049694,0.559543563298133,0.0735835925048237,0.0943424616887065,2.14021874419289,4.74617424851467,0.18398852712738,0.117016420609791,0.265719722585927,0.136251173588888,0.159306753502439,0.343461880382992,0.990821619033542,133.884857654572,1998,13,0.433406451961991,1,0.0528935639393168,4.89698015933123,-1.63314018169732,-1.10606870802365,6.14791354652849,-3.66892923977939,NA,NA,1,NA
"Energia Eletrica","Utilidade Publica",1732,"EGIE3","Novo Mercado",18130384479,14314424265,2216693981.6,2499307877.2,7555405526.4,7262106538.4,829578871.07,1744348736.7,2100815129.5,652742192,8071734384.5,32180861391,3765560814.3,791511381.29,5225088565.9,2992532514.2,435552042.58,2012,-0.0744785710680497,0.196961522959285,0.650103178760372,0.0726957006709208,23.6208550682726,0.554698500287569,0.112783588460044,0.13583147911375,2.32954656000376,4.75743104055297,0.260268119517678,0.122264036053264,0.274624247529338,0.143323807047666,0.193486857549678,0.337836251481803,1.07269570067092,117.530190149943,1998,14,0.416726161276461,1,0.0732188226564098,4.76669523802776,-3.29328113750956,-1.10556590181901,6.02305596340568,-3.75153097094681,0,NA,1,NA
"Energia Eletrica","Utilidade Publica",1732,"EGIE3","Novo Mercado",17662869737,13550637685,2004509514.3,3047990299,7127013735.4,7772672286.4,813027625.23,1708831128.8,2250213065.8,652742192,7483346137.3,32744590920,3332069676.8,793059465.98,4880460428.7,2468446091.5,216003950.51,2013,-0.0533578274515395,0.19683202672839,0.71082174497781,0.070305460998165,23.5947305181845,0.576214874858857,0.11937826469055,0.157198992019677,2.42993327774436,4.20153824490638,0.300696109001832,0.113487193425934,0.267862728453615,0.140034239393141,0.172444664612573,0.340947029258672,1.07030546099817,137.888738632202,1998,15,0.403502592813126,1,-0.143318052330488,4.92644711817385,-4.04709653465808,-1.12668543525597,5.94926986180514,-3.70763947367124,0,0,1,NA
"Energia Eletrica","Utilidade Publica",1732,"EGIE3","Novo Mercado",17866587604,12668867802,1813304618.9,2563242279.2,7885533902.1,8490218879.8,776712856.09,2104986613.1,1418415079.8,652742192,7412690397.9,28966150261,3020864375.8,725009391.56,5316122519.2,1736710926,1745759294.7,2014,-0.065072205714428,0.19113620592609,0.771091104654533,0.0923165890649354,23.606198191196,0.584989823482232,0.155342254883704,0.104675153507361,2.20606907798531,4.16665550952384,0.191349564552411,0.101491379276815,0.244621658475539,0.13381692146542,0.128164516414048,0.392315302259519,1.09231658906494,148.63472366333,1998,16,0.441356462514116,1,0.236269140368688,5.0014917770144,-2.05665232440649,-1.08792925773877,5.92409343389563,-3.71709745346121,NA,NA,1,NA
