"setor_economatica","setor_bovespa","id_cvm","codigo","listagem_bovespa","at","k","ll","d_cp","d_lp","v","depreciacao","caixa","dividendos","qtd_acoes","pl","v_merc","ebit","desp_fin","div_onerosa","fcl","cap_giro","ano"
"Comercio","Consumo Ciclico","02205","AMAR3","Novo Mercado",3301493977.7,233498512.44,29613299.536,1435622232.6,849300201.02,2885978551.2,143984136.82,41574303.643,0,204280000,1016571544.1,1106949584.5,292341933.4,139121846.65,1061132966.5,37330110.06,633777649.45,2018
"Comercio","Consumo Ciclico","02205","AMAR3","Novo Mercado",4024005598.5,176660867.45,112471055.97,1548406157.4,1054202565.7,2885245290.7,328311261.47,37113316.386,0,260688000,1421396875.4,3465327556.9,66997558.927,34969218.328,1520991331.2,155483144.47,829473662.46,2019
"Comercio","Consumo Ciclico","02099","AMER3","Novo Mercado",5352341545.6,219873298.99,55967718.538,2333370788,2642467165,6787994260.7,92927375.463,25466836.645,18843092.9,110282885,376503592.61,5788753571.8,684476849.3,815945248.43,3463224834,38409381.971,1539722977.3,2010
"Comercio","Consumo Ciclico","02099","AMER3","Novo Mercado",6399267632.9,333318283.4,139512501.09,2190789675.5,2426633205.4,6621613334.6,113654310.86,23933728.794,9678632.8249,159816337,1781844751.9,2250441772.9,370205358.65,924813236.88,3302707501,321062749.79,2191708097.3,2011
"Comercio","Consumo Ciclico","02099","AMER3","Novo Mercado",7076208399.5,387334601.93,252295610.97,2435324455.5,3208400060.9,7114188670,139445778.55,53613205.382,174438.42157,156536355,1432483883.1,3933908725.7,236300494.68,925868879.78,4078388035.8,724223977.61,2201744017.6,2012
"Comercio","Consumo Ciclico","02099","AMER3","Novo Mercado",9231017890.2,446144453.29,222714904.63,3568066910.8,4504902427.3,8498262097.6,143769071.62,124924522.62,0,158999202,1158048552.1,3388861285.9,381008557.9,1048847593.9,4997826753.2,608061575.13,2213958839,2013
"Comercio","Consumo Ciclico","02099","AMER3","Novo Mercado",10015073626,621985489.99,214223866.02,4076001490.2,1899631407.6,10446464898,196388164.6,256246704.2,0,255484410,4039440729,7520285916.7,480934304.15,1225272155,2504851574.4,2098471210.5,1207534833.9,2014
"Comercio","Consumo Ciclico","02099","AMER3","Novo Mercado",11791165679,670799969.11,495882208.75,3866388783.8,4717380796.8,10683421545,284382255.07,390443947.99,0,257318364,3207288242.2,4644876209.6,488470951.51,1427172521.3,4979391793.2,1050521120.9,2365194953,2015
"Comercio","Consumo Ciclico","02099","AMER3","Novo Mercado",11420264569,600254342.99,541788952.21,3478513448.4,4509430126.8,9591436369.2,325438013.38,250061929.27,0,342463558,3432265239,3895233847.3,402643998.43,1745560459.7,4757272980.6,1464226292.8,2026131889.1,2016
"Comercio","Consumo Ciclico","02099","AMER3","Novo Mercado",13673219297,508929368.12,445677689.86,4004985695.8,5437612270,7713139976.5,363331574.07,1591744720.5,0,453723681,4230892129.1,10075094666,268469221.31,1483428090,6761290715.1,936323928.25,3533488054.3,2017
"Comercio","Consumo Ciclico","02099","AMER3","Novo Mercado",13605635907,454696694.1,414946401.82,3350903073.2,6561694509.9,6774498271.8,454335441.71,3257481742.5,0,457280804,3693038324.2,20061973541,23844746.142,1059104315.1,7150126631.3,33256101.853,3991157163.7,2018
"Comercio","Consumo Ciclico","02099","AMER3","Novo Mercado",16072297178,660670483.97,318549709.52,4832271508.6,5499976876.4,6774611140.6,523215981.02,3539270271.9,0,523229262,5740048793.3,32922406877,103756528.57,1101857197.1,6439641363.6,314529775.91,4608695733.7,2019
"Outros","Consumo Ciclico","02324","ANIM3","Novo Mercado",1210181276,123838598.68,53542470.898,162666660.61,381700869.31,643866357.81,17464113.553,17031418.923,1027300.7972,82866371,674531844.92,2452076367.7,55693381.943,39425459.671,208997089.09,39548289.115,657762834.36,2013
"Outros","Consumo Ciclico","02324","ANIM3","Novo Mercado",1238390846.6,159477169.36,216301658.99,227846265.02,228352595.89,909698165.04,27748505.396,20813346.654,11952556.545,82865891,782191985.67,3842486217.4,159457493.29,38309307.937,169237811.72,351918314.35,212908192.82,2014
"Outros","Consumo Ciclico","02324","ANIM3","Novo Mercado",1393568816.6,172994128.42,76095466.004,282161129.84,350348726.28,1015293648,33022940.888,30199717.673,46421991.449,82592482,761058960.48,1350899568.6,82576315.935,78657938.124,420111496.39,109583017.93,184967344.59,2015
"Outros","Consumo Ciclico","02324","ANIM3","Novo Mercado",1547612235.8,249261277.91,23244536.922,299172634.5,539570991.84,1070992735.6,46969687.68,44122803.402,17004362.846,80027482,708868609.49,1216337250.7,62545590.377,153131820.02,421102469.03,69628790.114,184833376.27,2016
